.,Firefox stable,Firefox beta,Firefox nightly,Firefox developer,Firefox esr,.,Flatpak,Snap,msi,exe,tar.bz2,.,32 bit,64 bit
OS,,,,,,,,,,,,,,
Windows,,,,,,,,,,,,,,
7,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:x:,:x:,:heavy_check_mark:,:heavy_check_mark:,:x:,,:heavy_check_mark:,:heavy_check_mark:
10,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:x:,:x:,:heavy_check_mark:,:heavy_check_mark:,:x:,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
Ubuntu,,,,,,,,,,,,,,
focal,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
eoan,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
disco,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
cosmic,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
bionic,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
xenial,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
Debian,,,,,,,,,,,,,,
jessie,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
stretch,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
buster,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
stable,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
testing,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
EL (CentOS),,,,,,,,,,,,,,
8,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
7,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
opensuse,,,,,,,,,,,,,,
tumbleweed,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:,:x:,:x:,:heavy_check_mark:,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
ArchLinux,,,,,,,,,,,,,,
any,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,:heavy_check_mark:,:construction:,:x:,:x:,:heavy_check_mark:,,:x:,:heavy_check_mark:
.,,,,,,,,,,,,,,
Fedora,,,,,,,,,,,,,,
32,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,:heavy_check_mark:,:heavy_check_mark:
31,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,:heavy_check_mark:,:heavy_check_mark:
.,,,,,,,,,,,,,,
Package manager,,,,,,,,,,,,,,
deb\rpm,:heavy_check_mark:,:x:,:x:,:x:,:x:,,,,,,,,,
Flatpak,:heavy_check_mark:,:x:,:x:,:x:,:x:,,,,,,,,,
Snap,:heavy_check_mark:,:heavy_check_mark:,:construction:,:construction:,:heavy_check_mark:,,,,,,,,:x:,:heavy_check_mark:
msi,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,,
exe,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,,
tar.bz2,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,,
.,,,,,,,,,,,,,,
Architecture,,,,,,,,,,,,,,
32,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,,
64,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,:heavy_check_mark:,,,,,,,,,
